model,pearson_r,mae,rmse,r2
"Ensemble Ridge/SVR/RF/GenderSpecific w=(0.5,0.1,0.2,0.20)",0.6767404550226884,4.853328728191374,6.857795837787973,0.4460148736718519
Face Embedding + Gender + Tuned Ridge,0.6732175096419531,4.86252167957774,6.836565128916871,0.4494396740879697
Face Embedding + Tuned Ridge,0.671199719465011,4.866047002262805,6.855694689478969,0.4463542907732623
Gender-specific Tuned Ridge,0.6615691264696122,4.951672513541349,6.922487176561938,0.4355138103499733
Face Embedding + Tuned SVR,0.6469335616782618,5.049915440588598,7.175415264579851,0.393510785882746
Face Embedding + Ridge,0.6398750341039494,5.180188811335501,7.120593466369347,0.4027428132421794
Face Embedding + Random Forest,0.6395139675001018,5.229736150869954,7.2304454646078415,0.38417245399903943
Face Embedding + SVR,0.6370280700009786,5.109808180190468,7.168365815853712,0.39470188473377577
Face Embedding + Gender + SVR,0.6368704125916465,5.108053543989806,7.169771103184436,0.3944645360347402
